title,make,model,year,condition,transmission,price
Toyota Highlander 2018 Silver,Toyota,Highlander,2018,local used,automatic,"₦ 36,000,000"
Lexus RX 2010 Black,Lexus,RX,2010,local used,automatic,"₦ 10,200,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2013 Burgundy,Toyota,Avalon Limited,2013,foreign used,automatic,"₦ 16,200,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Red,Toyota,Camry LE,2008,foreign used,automatic,"₦ 9,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Silver,Toyota,Camry LE,2008,foreign used,automatic,"₦ 9,000,000"
Toyota RAV4 2010 Silver,Toyota,RAV4,2010,local used,automatic,"₦ 8,000,000"
Toyota Tacoma 2014 Red,Toyota,Tacoma,2014,local used,automatic,"₦ 15,700,000"
Honda Civic 2004 Green,Honda,Civic,2004,local used,automatic,"₦ 2,531,250"
Toyota Matrix 2010 Black,Toyota,Matrix,2010,local used,automatic,"₦ 5,900,000"
Toyota Camry 2009 Gray,Toyota,Camry,2009,local used,automatic,"₦ 6,267,375"
Honda Pilot 2008 Green,Honda,Pilot,2008,local used,automatic,"₦ 4,000,000"
Mitsubishi L200 2008 White,Mitsubishi,L200,2008,local used,manual,"₦ 6,600,000"
Toyota Camry 2002 Black,Toyota,Camry,2002,local used,automatic,"₦ 1,950,000"
Lexus ES 330 2006 Black,Lexus,ES 330,2006,local used,automatic,"₦ 3,800,000"
Honda CR-V EX-L AWD 2025 Black,Honda,CR-V EX-L,2025,foreign used,automatic,"₦ 49,800,000"
Toyota Camry 2002 Gold,Toyota,Camry,2002,local used,automatic,"₦ 2,300,000"
Toyota Camry 2014 Black,Toyota,Camry,2014,foreign used,automatic,"₦ 12,800,000"
Mazda 323 1999 Silver,Mazda,323,1999,foreign used,manual,"₦ 5,800,000"
Lexus RX 2010,Lexus,RX,2010,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 31,000,000"
BMW 3 Series 328i RWD 2013 Gray,BMW,3 Series,2013,foreign used,automatic,"₦ 12,500,000"
Honda Accord 2.4 Exec Automatic 2007 Blue,Honda,Accord 2,2007,local used,automatic,"₦ 3,164,062"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Silver,Toyota,Camry XLE,2009,local used,automatic,"₦ 6,500,000"
Toyota Matrix XR Hatchback FWD (1.8L 4cyl 4A) 2006 Black,Toyota,Matrix XR,2006,local used,automatic,"₦ 5,279,999"
GAC GS4 2024 Black,GAC,GS4,2024,local used,automatic,"₦ 27,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2016 Gray,Mercedes-Benz,E350 Base,2016,foreign used,automatic,"₦ 19,800,000"
