title,make,model,year,condition,transmission,price
Toyota Sienna XLE FWD 2006 Red,Toyota,Sienna XLE,2006,foreign used,automatic,"₦ 10,700,000"
Honda Pilot Elite 4dr AWD (3.5L 6cyl 9A) 2016 White,Honda,Pilot Elite,2016,foreign used,automatic,"₦ 27,500,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2016 Silver,Hyundai,Sonata Limited,2016,foreign used,automatic,"₦ 18,100,000"
Toyota Highlander Limited FWD 2024 Gray,Toyota,Highlander Limited,2024,foreign used,automatic,"₦ 99,500,000"
Toyota Highlander XLE FWD 2020 Black,Toyota,Highlander XLE,2020,local used,automatic,"₦ 47,000,000"
Hyundai Santa Fe Limited Ultimate AWD 2018 Black,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 24,500,000"
Mercedes-Benz GLA 250 2015 Red,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 27,000,000"
Honda Pilot EX-L w/Navigation 4dr SUV 4WD (3.5L 6cyl 5A) 2015 Black,Honda,Pilot EX-L,2015,foreign used,automatic,"₦ 16,500,000"
Hyundai Tucson Limited FWD 2017 Silver,Hyundai,Tucson Limited,2017,foreign used,automatic,"₦ 27,500,000"
Mercedes-Benz CLA-Class 2015 Black,Mercedes-Benz,CLA-Class,2015,foreign used,automatic,"₦ 17,200,000"
Lexus RX 350 AWD 2018 Red,Lexus,RX 350,2018,foreign used,automatic,"₦ 44,300,000"
Hyundai Santa Fe GLS 4dr SUV (3.3L 6cyl 6A) 2015 Silver,Hyundai,Santa Fe,2015,foreign used,automatic,"₦ 15,200,000"
Lexus GX 460 2010 Gold,Lexus,GX 460,2010,foreign used,automatic,"₦ 33,000,000"
Honda Accord 2005 Black,Honda,Accord,2005,local used,automatic,"₦ 3,300,000"
Land Rover Range Rover 2018 Blue,Land,Rover Range,2018,local used,automatic,"₦ 44,000,000"
Toyota RAV4 2.5 Sport 4x4 2010 Gray,Toyota,RAV4 2,2010,foreign used,automatic,"₦ 13,200,000"
Honda CR-V 2014 White,Honda,CR-V,2014,foreign used,automatic,"₦ 13,500,000"
Honda CR-V 2008,Honda,CR-V,2008,local used,automatic,"₦ 3,499,999"
Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2012 Silver,Toyota,Corolla S,2012,local used,automatic,"₦ 6,200,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,foreign used,automatic,"₦ 9,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Green,Toyota,Camry XLE,2010,foreign used,automatic,"₦ 10,000,000"
Volkswagen Golf 2006 Silver,Volkswagen,Golf,2006,local used,automatic,"₦ 5,800,000"
Nissan Sunny 2010 Black,Nissan,Sunny,2010,local used,manual,"₦ 4,000,000"
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2005 Silver,Honda,Pilot EX,2005,local used,automatic,"₦ 3,290,625"
Mercedes-Benz GLK-Class 350 4MATIC 2011 White,Mercedes-Benz,GLK-Class 350,2011,local used,automatic,"₦ 8,000,000"
Acura MDX Sport Utility 2004 Gold,Acura,MDX Sport,2004,local used,automatic,"₦ 3,100,000"
Nissan Rogue 2007 Silver,Nissan,Rogue,2007,foreign used,automatic,"₦ 9,800,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2022 White,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 120,000,000"
Lexus RX 330 AWD 2006 White,Lexus,RX 330,2006,foreign used,automatic,"₦ 12,500,000"
Volkswagen Suran 2006 White,Volkswagen,Suran,2006,local used,manual,"₦ 2,200,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 8,000,000"
Toyota Verso 1.6 2014 Blue,Toyota,Verso 1,2014,foreign used,automatic,"₦ 17,000,000"
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2014 Off white,Toyota,Avalon XLE,2014,local used,automatic,"₦ 13,000,000"
Toyota Camry XSE FWD (2.5L 4cyl 8AM) 2018 Gold,Toyota,Camry XSE,2018,foreign used,automatic,"₦ 30,000,000"
Toyota Camry SE Sport 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014 White,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,000,000"
Toyota Sienna LE AWD 2006 Gold,Toyota,Sienna LE,2006,foreign used,automatic,"₦ 10,500,000"
Ford E-350 2006 Gold,Ford,E-350,2006,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 2010 Silver,Lexus,RX 350,2010,foreign used,automatic,"₦ 20,000,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2010 Black,Toyota,Camry SE,2010,local used,automatic,"₦ 7,200,000"
Toyota Venza LE AWD V6 2013 Gray,Toyota,Venza LE,2013,foreign used,automatic,"₦ 21,000,000"
Toyota RAV4 3.5 Limited 4x4 2011 Brown,Toyota,RAV4 3,2011,foreign used,automatic,"₦ 13,785,087"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Gold,Toyota,Camry LE,2007,foreign used,automatic,"₦ 9,500,000"
Lexus ES 350 FWD 2013 Maroon,Lexus,ES 350,2013,foreign used,automatic,"₦ 14,500,000"
Ford Edge Sport 4dr AWD (2.7L 6cyl 6A) 2016 Black,Ford,Edge Sport,2016,foreign used,automatic,"₦ 13,000,000"
Lexus ES 350 2010 Black,Lexus,ES 350,2010,foreign used,automatic,"₦ 11,500,000"
Lexus ES 2003 Silver,Lexus,ES,2003,local used,automatic,"₦ 3,000,000"
Dodge Charger 2012 Purple,Dodge,Charger,2012,foreign used,automatic,"₦ 13,000,000"
Toyota RAV4 2010 Gray,Toyota,RAV4,2010,local used,automatic,"₦ 8,300,000"
Mercedes-Benz M Class 2015 Black,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 26,500,000"
Lexus GS 300 Automatic 2006 Black,Lexus,GS 300,2006,local used,automatic,"₦ 5,000,000"
Toyota Corolla LE Special Edition 4dr Sedan (1.8L 4cyl 4A) 2013 Black,Toyota,Corolla LE,2013,local used,automatic,"₦ 7,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 4A) 2003 Gray,Toyota,Camry SE,2003,local used,automatic,"₦ 4,000,000"
Land Rover Range Rover Evoque 2015 Gray,Land,Rover Range,2015,local used,automatic,"₦ 9,000,000"
Toyota Corolla 2006 Gray,Toyota,Corolla,2006,foreign used,automatic,"₦ 6,800,000"
Toyota Avensis 2.0 D-4D 2006 Green,Toyota,Avensis 2,2006,local used,automatic,"₦ 3,500,000"
Mazda CX-5 Grand Touring AWD 2013 White,Mazda,CX-5 Grand,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Sienna 2009,Toyota,Sienna,2009,local used,automatic,"₦ 7,000,000"
Honda Accord 2009 Silver,Honda,Accord,2009,local used,automatic,"₦ 5,000,000"
Hyundai Sonata 2014 Gray,Hyundai,Sonata,2014,foreign used,automatic,"₦ 10,000,000"
Lexus ES 2025 Silver,Lexus,ES,2025,foreign used,automatic,"₦ 11,000,000"
Ford Focus 2017 Gray,Ford,Focus,2017,local used,automatic,"₦ 7,500,000"
Kia Rio EX 4dr Sedan (1.6L 4cyl 6A) 2012 Red,Kia,Rio EX,2012,local used,automatic,"₦ 4,500,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Gray,Mercedes-Benz,M Class,2012,local used,automatic,"₦ 16,500,000"
Lexus RX 350 2011 Black,Lexus,RX 350,2011,foreign used,automatic,"₦ 18,000,000"
Toyota Camry XLE V6 4dr Sedan (3.0L 6cyl 4A) 2002 Gold,Toyota,Camry XLE,2002,local used,automatic,"₦ 2,700,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,local used,automatic,"₦ 7,500,000"
Toyota Sienna 2000 Gray,Toyota,Sienna,2000,local used,automatic,"₦ 4,000,000"
Lexus ES 350 2011 Red,Lexus,ES 350,2011,foreign used,automatic,"₦ 9,500,000"
Toyota RAV4 2016 White,Toyota,RAV4,2016,foreign used,automatic,"₦ 20,000,000"
Toyota Corolla Base 4dr Sedan (1.8L 4cyl 5M) 2011 Gray,Toyota,Corolla Base,2011,local used,automatic,"₦ 8,000,000"
Lexus LS 460 2008 Black,Lexus,LS 460,2008,local used,automatic,"₦ 7,000,000"
Toyota Venza 2010 Blue,Toyota,Venza,2010,foreign used,automatic,"₦ 15,300,000"
Toyota Corolla 1.8 LE 2008 Gold,Toyota,Corolla 1,2008,local used,automatic,"₦ 8,000,000"
Toyota Fortuner 4.0 AWD 2015 Gray,Toyota,Fortuner 4,2015,local used,automatic,"₦ 18,000,000"
Toyota Camry 2016 Red,Toyota,Camry,2016,foreign used,automatic,"₦ 17,465,625"
Toyota Tundra Double Cab 4x4 Limited 2011 Green,Toyota,Tundra Double,2011,foreign used,automatic,"₦ 26,000,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,foreign used,automatic,"₦ 9,200,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 White,Toyota,Camry LE,2015,foreign used,automatic,"₦ 13,000,000"
Toyota RAV4 2010 White,Toyota,RAV4,2010,local used,automatic,"₦ 9,000,000"
Mitsubishi Delica 2008 Yellow,Mitsubishi,Delica,2008,foreign used,automatic,"₦ 9,800,000"
Ford Mondeo 2005 Blue,Ford,Mondeo,2005,local used,automatic,"₦ 5,000,000"
BYD Song Plus DM-i 2025 Gray,BYD,Song Plus,2025,foreign used,automatic,"₦ 53,500,000"
Lexus RX 2010 White,Lexus,RX,2010,foreign used,automatic,"₦ 17,500,000"
Toyota Hilux SR 2016 White,Toyota,Hilux SR,2016,local used,manual,"₦ 34,000,000"
Honda Accord Crosstour 2013 Black,Honda,Accord Crosstour,2013,local used,automatic,"₦ 12,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2005 Red,Toyota,Camry LE,2005,local used,automatic,"₦ 4,400,000"
Toyota Sienna LE & 1 hatch 2000 Green,Toyota,Sienna LE,2000,local used,automatic,"₦ 2,600,000"
Toyota Sienna LE FWD 2006 Silver,Toyota,Sienna LE,2006,foreign used,automatic,"₦ 9,750,000"
Honda Accord Coupe EX-L V-6 Automatic 2011 Gray,Honda,Accord Coupe,2011,foreign used,automatic,"₦ 10,300,000"
Toyota Camry 2018 White,Toyota,Camry,2018,foreign used,automatic,"₦ 26,578,125"
Lexus ES 350 2008 White,Lexus,ES 350,2008,local used,automatic,"₦ 7,000,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Silver,Toyota,Highlander XLE,2016,foreign used,automatic,"₦ 26,500,000"
Toyota Highlander Limited 2012 Gray,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 18,000,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2016 Black,Mercedes-Benz,CLA-Class CLA,2016,foreign used,automatic,"₦ 21,000,000"
Acura MDX 2015 White,Acura,MDX,2015,local used,automatic,"₦ 10,500,000"
Toyota Highlander Limited Platinum 2019 Gray,Toyota,Highlander Limited,2019,foreign used,automatic,"₦ 53,000,000"
Lexus RX 2000 Green,Lexus,RX,2000,local used,automatic,"₦ 4,000,000"
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2012 Blue,Hyundai,Sonata Limited,2012,foreign used,automatic,"₦ 9,500,000"
Lexus LX 570 AWD 2014 Black,Lexus,LX 570,2014,local used,automatic,"₦ 58,000,000"
Mini Cooper 2012 White,Mini,Cooper,2012,local used,automatic,"₦ 8,500,000"
Toyota 4-Runner SR5 4x4 2004 Blue,Toyota,4-Runner SR5,2004,local used,automatic,"₦ 5,400,000"
Toyota Avalon XLE 2020 Black,Toyota,Avalon XLE,2020,foreign used,automatic,"₦ 43,000,000"
BMW X6 xDrive35i 4x4 Coupe (3.0L 6cyl 8A) 2011 White,BMW,X6 xDrive35i,2011,local used,automatic,"₦ 14,000,000"
Kia Soul 2013 Black,Kia,Soul,2013,local used,automatic,"₦ 5,062,500"
Honda Accord Sport 2.0T 2022 Red,Honda,Accord Sport,2022,foreign used,automatic,"₦ 27,000,000"
BMW 535i 2012 White,BMW,535i,2012,local used,automatic,"₦ 5,500,000"
Toyota Highlander V6 2006 Black,Toyota,Highlander V6,2006,local used,automatic,"₦ 5,200,000"
Toyota Hilux 2.0 VVT-i 2010 White,Toyota,Hilux 2,2010,local used,manual,"₦ 12,000,000"
Toyota Sienna CE AWD 2006 Blue,Toyota,Sienna CE,2006,local used,automatic,"₦ 5,500,000"
Toyota Sienna CE FWD (3.3L V6 5A) 2004 Gray,Toyota,Sienna CE,2004,local used,automatic,"₦ 5,400,000"
Toyota Venza 2013,Toyota,Venza,2013,local used,automatic,"₦ 11,500,000"
Mercedes-Benz GLC-Class 2020 Black,Mercedes-Benz,GLC-Class,2020,foreign used,automatic,"₦ 57,500,000"
Toyota Highlander 2005 Silver,Toyota,Highlander,2005,local used,automatic,"₦ 3,600,000"
Toyota Corolla 2007 Red,Toyota,Corolla,2007,foreign used,automatic,"₦ 4,500,000"
Toyota Corolla LE 2007 Blue,Toyota,Corolla LE,2007,local used,automatic,"₦ 5,600,000"
Acura RDX Automatic Tech Package 2007 Silver,Acura,RDX Automatic,2007,local used,automatic,"₦ 4,900,000"
Mercedes-Benz GLA 250 2016 Black,Mercedes-Benz,GLA 250,2016,foreign used,automatic,"₦ 19,800,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 White,Hyundai,Sonata Sport,2015,foreign used,automatic,"₦ 11,000,000"
Toyota Corolla 2007 Gray,Toyota,Corolla,2007,local used,automatic,"₦ 5,189,062"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 6,000,000"
Toyota Avalon 2013 Silver,Toyota,Avalon,2013,foreign used,automatic,"₦ 13,700,000"
Lexus RX 2010 Black,Lexus,RX,2010,foreign used,automatic,"₦ 15,700,000"
Lexus GX 470 Sport Utility 2007 Blue,Lexus,GX 470,2007,local used,automatic,"₦ 6,999,999"
Lexus GX 470 2004 Gold,Lexus,GX 470,2004,local used,automatic,"₦ 12,600,000"
Toyota Corolla 2027 Silver,Toyota,Corolla,2027,local used,automatic,"₦ 5,000,000"
Toyota Camry 2006 Blue,Toyota,Camry,2006,local used,automatic,"₦ 4,400,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry LE,2013,foreign used,automatic,"₦ 13,000,000"
Honda CR-V 1997 Green,Honda,CR-V,1997,local used,automatic,"₦ 2,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry SE,2016,foreign used,automatic,"₦ 16,500,000"
Lexus RX 2010 Gray,Lexus,RX,2010,local used,automatic,"₦ 12,980,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,local used,automatic,"₦ 9,200,000"
Toyota Corolla 2006 Blue,Toyota,Corolla,2006,local used,automatic,"₦ 5,062,500"
Hyundai Santa Fe GLS 4dr SUV AWD (3.3L 6cyl 6A) 2015 Brown,Hyundai,Santa Fe,2015,foreign used,automatic,"₦ 13,999,999"
Toyota Venza AWD 2012 Brown,Toyota,Venza AWD,2012,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,Mercedes-Benz,GLE-Class AMG,2017,foreign used,automatic,"₦ 52,000,000"
Lexus RX 350 F Sport AWD 2016 Black,Lexus,RX 350,2016,foreign used,automatic,"₦ 41,525,000"
Toyota Camry 2005 Black,Toyota,Camry,2005,local used,automatic,"₦ 3,700,000"
Toyota Camry XSE V6 FWD 2020 Black,Toyota,Camry XSE,2020,foreign used,automatic,"₦ 32,000,000"
Toyota Camry 2004 Silver,Toyota,Camry,2004,local used,automatic,"₦ 3,750,000"
Toyota Camry 2.4 WT-i 2005 Black,Toyota,Camry 2,2005,foreign used,automatic,"₦ 8,000,000"
Toyota Camry 2011 Silver,Toyota,Camry,2011,local used,automatic,"₦ 5,000,000"
Toyota Highlander 2010 Silver,Toyota,Highlander,2010,foreign used,automatic,"₦ 11,900,000"
Toyota Hilux 2021 White,Toyota,Hilux,2021,local used,manual,"₦ 47,000,000"
Honda Accord Sedan LX Automatic 2011 Burgundy,Honda,Accord Sedan,2011,local used,automatic,"₦ 5,200,000"
Toyota Camry 2010 Black,Toyota,Camry,2010,local used,automatic,"₦ 6,100,000"
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 52,500,000"
Toyota Sienna XLE (3.5L 6cyl 8A) 2018 Black,Toyota,Sienna XLE,2018,foreign used,automatic,"₦ 30,000,000"
Toyota Tundra Limited 2022 Black,Toyota,Tundra Limited,2022,foreign used,automatic,"₦ 73,000,000"
Lexus ES 350 2009 White,Lexus,ES 350,2009,local used,automatic,"₦ 6,000,000"
Lexus RX 350 2010 White,Lexus,RX 350,2010,foreign used,automatic,"₦ 20,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Silver,Toyota,Camry LE,2009,local used,automatic,"₦ 6,500,000"
Toyota Avalon 2014 Silver,Toyota,Avalon,2014,local used,automatic,"₦ 12,700,000"
Volkswagen Golf 1.6 FSi 2001 Silver,Volkswagen,Golf 1,2001,foreign used,automatic,"₦ 6,000,000"
Lexus RX 350 AWD 2013 Black,Lexus,RX 350,2013,foreign used,automatic,"₦ 24,000,000"
Toyota Corolla 2015 Gray,Toyota,Corolla,2015,local used,automatic,"₦ 10,000,000"
Toyota Camry 2005 Gold,Toyota,Camry,2005,local used,automatic,"₦ 3,850,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 7,000,000"
Toyota Highlander 2020 Gray,Toyota,Highlander,2020,foreign used,automatic,"₦ 54,500,000"
Toyota Highlander 2005 Blue,Toyota,Highlander,2005,local used,automatic,"₦ 5,000,000"
Toyota Corolla Cross 2024 White,Toyota,Corolla Cross,2024,foreign used,automatic,"₦ 35,000,000"
Lexus RX 300 4WD 2000 Gold,Lexus,RX 300,2000,foreign used,automatic,"₦ 4,000,000"
Honda Accord 2012 Black,Honda,Accord,2012,local used,automatic,"₦ 5,000,000"
Toyota Hilux 2.0 VVT-i 2010 White,Toyota,Hilux 2,2010,local used,manual,"₦ 18,500,000"
Honda Accord 2.0 Comfort Automatic 2007 Gray,Honda,Accord 2,2007,local used,automatic,"₦ 2,900,000"
Volkswagen Golf GL 1.9 TDI Sedan 2004 Silver,Volkswagen,Golf GL,2004,foreign used,automatic,"₦ 6,300,000"
Toyota Highlander Limited 4dr SUV (3.5L 6cyl 6A) 2015 Maroon,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 28,500,000"
Toyota Camry 2004,Toyota,Camry,2004,local used,automatic,"₦ 2,600,000"
BYD Song Plus 2022 Gray,BYD,Song Plus,2022,foreign used,automatic,"₦ 35,500,000"
Volkswagen Golf 1.6 Comfortline 2005 Gray,Volkswagen,Golf 1,2005,foreign used,automatic,"₦ 6,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2011 White,Toyota,Corolla LE,2011,local used,automatic,"₦ 6,500,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2017 Gold,Toyota,Avalon XLE,2017,foreign used,automatic,"₦ 20,550,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Blue,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 19,999,999"
Toyota Hilux 2020 Black,Toyota,Hilux,2020,foreign used,automatic,"₦ 84,000,000"
Toyota Corolla 2008 Black,Toyota,Corolla,2008,local used,automatic,"₦ 5,950,000"
Rolls-Royce Cullinan Base 2020 White,Rolls-Royce,Cullinan Base,2020,foreign used,automatic,"₦ 590,000,000"
New Toyota Land Cruiser Prado 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 150,000,000"
Mercedes-Benz 220 2021 Blue,Mercedes-Benz,220,2021,foreign used,automatic,"₦ 49,500,000"
Lexus TX TX 350 AWD 2024 Silver,Lexus,TX TX,2024,foreign used,automatic,"₦ 120,000,000"
Honda CR-V 2013 Gray,Honda,CR-V,2013,local used,automatic,"₦ 8,950,000"
Pontiac Vibe 2009 Red,Pontiac,Vibe,2009,local used,automatic,"₦ 5,650,000"
Audi A3 2024 Blue,Audi,A3,2024,foreign used,automatic,"₦ 48,000,000"
Toyota Corolla CE 2007 Red,Toyota,Corolla CE,2007,local used,automatic,"₦ 5,200,000"
Mercedes-Benz GLE-Class GLE 550 4MATIC 2015 White,Mercedes-Benz,GLE-Class GLE,2015,foreign used,automatic,"₦ 29,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry LE,2016,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz GLK-Class 350 2014 White,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz E350 2014 Gray,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 22,300,000"
Lexus RX 350 AWD 2018 Red,Lexus,RX 350,2018,foreign used,automatic,"₦ 36,000,000"
Toyota Venza LE 2010 Red,Toyota,Venza LE,2010,foreign used,automatic,"₦ 15,050,000"
Toyota Sienna SE Premium 8-Passenger 4dr Minivan (3.5L 6cyl 6A) 2015,Toyota,Sienna SE,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Corolla Verso 1.6 2004 Red,Toyota,Corolla Verso,2004,foreign used,automatic,"₦ 9,000,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 White,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 17,500,000"
Toyota Sienna 2016 Gold,Toyota,Sienna,2016,foreign used,automatic,"₦ 19,500,000"
New Mercedes-Benz S-Class 2026 Blue,New,Mercedes-Benz S-Class,2026,brand new,automatic,"₦ 370,000,000"
Toyota Land Cruiser 2018 Black,Toyota,Land Cruiser,2018,local used,automatic,"₦ 79,500,000"
Kia Picanto 2010 Silver,Kia,Picanto,2010,foreign used,manual,"₦ 4,753,000"
Mercedes-Benz M Class 2011 Gray,Mercedes-Benz,M Class,2011,foreign used,automatic,"₦ 12,500,000"
New Jetour T2 2025 Black,New,Jetour T2,2025,brand new,automatic,"₦ 78,000,000"
Suzuki Baleno 2019 Blue,Suzuki,Baleno,2019,local used,automatic,"₦ 16,000,000"
New Lexus LX LX 600 2024 Black,New,Lexus LX,2024,brand new,automatic,"₦ 550,000,000"
Mercedes-Benz G-Class G 63 AMG 4MATIC 2020 Black,Mercedes-Benz,G-Class G,2020,local used,automatic,"₦ 220,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S AWD 2025 White,Mercedes-Benz,GLE-Class AMG,2025,foreign used,automatic,"₦ 320,000,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2021 Black,Mercedes-Benz,CLA-Class CLA,2021,foreign used,automatic,"₦ 55,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2019 White,Mercedes-Benz,GLE-Class AMG,2019,local used,automatic,"₦ 73,000,000"
Honda Accord 2007 Gold,Honda,Accord,2007,foreign used,automatic,"₦ 2,700,000"
Honda Pilot 2010 Black,Honda,Pilot,2010,local used,automatic,"₦ 5,200,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 White,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 45,000,000"
Toyota Venza V6 AWD 2012 Brown,Toyota,Venza V6,2012,foreign used,automatic,"₦ 17,500,000"
Mercedes-Benz C180 2002 Blue,Mercedes-Benz,C180,2002,local used,automatic,"₦ 2,500,000"
Lexus GX 470 2007 Black,Lexus,GX 470,2007,local used,automatic,"₦ 12,450,000"
Toyota Sienna SE FWD 8-Passenger 2013 Black,Toyota,Sienna SE,2013,foreign used,automatic,"₦ 14,500,000"
New Lexus LX LX 700h 2025 Black,New,Lexus LX,2025,brand new,automatic,"₦ 355,000,000"
Nissan Rogue 2016 Blue,Nissan,Rogue,2016,foreign used,automatic,"₦ 16,900,000"
New Toyota Hilux 2025 Black,New,Toyota Hilux,2025,brand new,automatic,"₦ 94,500,000"
Hyundai Elantra 2013 Black,Hyundai,Elantra,2013,local used,automatic,"₦ 6,100,000"
Mercedes-Benz GLE-Class 2016 Black,Mercedes-Benz,GLE-Class,2016,local used,automatic,"₦ 24,500,000"
Mercedes-Benz GLC-Class 2025 Black,Mercedes-Benz,GLC-Class,2025,foreign used,automatic,"₦ 160,000,000"
Toyota Camry LE AWD 2024 Black,Toyota,Camry LE,2024,foreign used,automatic,"₦ 41,500,000"
Toyota Hilux 2023 White,Toyota,Hilux,2023,foreign used,automatic,"₦ 92,000,000"
Lexus LX 2017 Black,Lexus,LX,2017,foreign used,automatic,"₦ 78,000,000"
Toyota Matrix 2004 Blue,Toyota,Matrix,2004,local used,automatic,"₦ 4,550,000"
Toyota Camry 2010 Green,Toyota,Camry,2010,local used,automatic,"₦ 6,150,000"
Honda Accord 2012 White,Honda,Accord,2012,local used,automatic,"₦ 5,500,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,foreign used,automatic,"₦ 17,200,000"
Lexus RX 350 2010 Gray,Lexus,RX 350,2010,foreign used,automatic,"₦ 16,000,000"
Acura ZDX Base AWD 2010 Gray,Acura,ZDX Base,2010,foreign used,automatic,"₦ 18,500,000"
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 50,000,000"
Toyota Avalon XLE Plus FWD Sedan (3.6L 6cyl 6A) 2016 Black,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 20,000,000"
Hyundai Sonata SE 2020 Blue,Hyundai,Sonata SE,2020,foreign used,automatic,"₦ 17,500,000"
Toyota Sienna 2006 Gray,Toyota,Sienna,2006,foreign used,automatic,"₦ 8,200,000"
Toyota Highlander 2001 Black,Toyota,Highlander,2001,local used,automatic,"₦ 4,900,000"
Mazda CX-9 2009 Blue,Mazda,CX-9,2009,local used,automatic,"₦ 5,500,000"
New Rolls-Royce Cullinan 2024 Black,New,Rolls-Royce Cullinan,2024,brand new,automatic,"₦ 1,590,000,000"
Toyota Corolla 2010 Gold,Toyota,Corolla,2010,local used,automatic,"₦ 6,300,000"
